epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.471,0.6792,2.7907,1.18334,0.24335,0.57106,0.39399,0.35403,0.56263,1.8768,1.15341,0.000367085,0.000367085,0.000367085
2,27.4841,0.63436,2.03597,1.11342,0.42915,0.67055,0.64499,0.57283,0.4646,1.81877,1.07413,0.000591409,0.000591409,0.000591409
3,37.9291,0.60745,1.71852,1.08603,0.78833,0.75111,0.83184,0.75615,0.47281,1.3191,1.08671,0.000669082,0.000669082,0.000669082
4,47.9923,0.57869,1.55109,1.05765,0.81584,0.92104,0.88285,0.82283,0.47297,1.05852,1.02841,0.000451066,0.000451066,0.000451066
5,58.5064,0.53367,1.39519,1.04402,0.85626,0.82865,0.92697,0.86902,0.42587,0.99911,0.97868,0.000231088,0.000231088,0.000231088
