train_loss,train_acc,test_loss,test_acc
1.30255179119581,62.586905200233915,0.4216417051294504,87.91882350393104
0.6574586602399024,80.68484546576856,0.35862309328819575,89.89625522514132
0.5301221986601358,84.40200558792316,0.3189140965032115,90.62831647570987
0.44590151630605335,86.87541963570206,0.29742988656143404,91.37987048147106
0.37926950599489656,89.01745684520587,0.27728710571752857,91.87585280803968
0.32618182457529127,90.51298434082,0.26976133772066263,91.88235039310389
0.2910679538139837,91.49574408178293,0.2558872494253219,92.54943579303026
0.26645797177599334,92.20289792293865,0.2620804046443212,92.53427476121375
0.24744967058396491,92.77576833943384,0.2577478718760725,92.5299430378376
0.23497565583231048,93.05895475514933,0.25131404553630343,92.82450022741548
